0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,label
-592.5197,55.269863,-19.240614,14.985034,-4.3037934,-0.7829676,-15.683035,-4.7464623,-22.302803,-5.347614,-3.2689152,-6.1823516,-4.994535,-5.52675,-5.180778,3.9239156,-13.427352,-5.194612,-4.176971,-4.578674,-8.538957,-1.7509602,-7.6845956,-7.8174977,-1.8912876,-6.1228647,-6.0876265,-2.0446324,-6.3000875,-4.0662956,-5.8660254,-6.5849314,-2.4344625,-3.7436514,-0.29983303,1.267962,5.3271475,3.9826357,8.654726,11.515515,neutral
-571.7712,53.82124,-19.770306,14.672212,-3.2212996,-2.2193792,-15.660699,-4.115021,-21.762812,-0.92314935,-3.4888499,-4.256855,-6.386453,-5.031293,-4.577743,1.2036935,-12.780074,-5.0963216,-3.6102743,-5.673286,-10.738586,-1.7558078,-10.088989,-6.863227,-2.396363,-5.9498086,-4.8840632,-1.4358757,-6.0440927,-2.564606,-5.151127,-6.433335,-2.4615436,-4.1430416,0.55382997,1.9986894,5.020371,4.2246065,9.785755,11.845788,neutral
-579.2167,54.23281,-15.242693,17.25066,-4.7512274,0.021344757,-13.251751,-5.4777045,-20.139534,-4.1986065,-4.0210953,-4.8582687,-5.2133737,-5.63336,-4.6673894,2.8600736,-11.925024,-4.623821,-3.5471036,-6.601063,-9.89598,-2.4595144,-6.914575,-6.965358,-2.849526,-4.567104,-5.066485,-2.9137154,-6.8506393,-3.2474298,-5.4213862,-5.051621,-1.963996,-3.5426397,-0.7453849,1.2215824,3.4395654,5.6024175,9.031712,9.748875,neutral
-581.09064,53.24972,-19.030127,17.035286,-5.6487465,1.8750896,-16.216503,-5.10872,-21.04643,-2.9532225,-2.1167212,-5.2701626,-5.4551973,-5.653674,-4.1667657,1.7007025,-13.58873,-3.8290722,-4.1419406,-7.0883627,-9.626239,-1.1544966,-8.213919,-6.1719294,-3.0763853,-6.6072683,-4.8457394,-2.7533777,-6.391461,-2.4980476,-6.5955586,-5.2618175,-2.072452,-4.8430495,0.88077927,1.2970343,4.160462,5.900162,9.407314,10.992938,neutral
-592.52057,61.175182,-16.242025,16.972326,-1.7409685,-0.38939834,-15.755614,-1.1119391,-19.68089,-3.4880378,-0.8691024,-5.2699428,-9.059155,-4.454226,-4.303195,1.6119796,-8.845841,-5.9283414,-4.601464,-6.770892,-10.885338,-1.9901687,-7.7832355,-5.187756,-2.7245321,-4.99744,-6.8461046,-1.934838,-5.556306,-0.83577347,2.7330685,2.623967,3.312066,-4.6761184,-4.766972,-4.0451636,1.9918331,5.5202,10.280448,11.302134,calm
-581.7928,56.447,-17.693556,15.8397045,-1.7184327,-1.0227625,-14.631955,-3.5393763,-23.259861,-2.2895164,-2.9101505,-6.2810135,-8.588992,-6.637941,-5.674869,2.2865252,-12.535496,-5.250957,-3.9747562,-9.256555,-10.919588,-2.9850242,-10.500622,-5.457731,-2.2398338,-7.1179786,-6.6909156,-2.978974,-6.7965293,0.792321,0.07347396,1.0484991,2.3406744,-6.311334,-4.313064,-4.383526,3.5570228,6.0442786,12.056603,11.6094,calm
-601.06415,62.35663,-5.6379256,15.782544,-5.5228186,2.3066154,-12.609752,-0.28712952,-21.715025,-4.356428,-3.4817975,-2.710475,-9.099488,-7.5215006,-3.5535054,-0.8340057,-12.553822,-3.877264,-6.9545345,-7.79458,-9.329567,-3.1259255,-9.732803,-7.100112,-4.4862285,-5.585862,-6.29343,-2.9879882,-4.8385763,-1.9049258,-0.019260367,-0.09545662,0.18128425,-6.175547,-5.1620855,-3.7088614,-0.29005966,3.1721785,7.298734,9.859857,calm
-568.3081,56.620483,-14.06562,14.446773,-5.6539764,-0.62851906,-16.378359,-3.3267586,-22.465721,-4.2646422,-1.4711586,-5.356024,-6.8565955,-7.142929,-4.623893,-0.7579778,-10.932662,-3.7230196,-4.6452484,-6.8345065,-11.341072,-4.1499486,-8.764239,-6.4341183,-2.4675033,-5.9353104,-7.5069823,-2.4603128,-5.5589166,-0.27626038,1.2442106,0.06309891,1.2508608,-5.2471857,-5.28419,-5.124782,0.5680159,4.5225744,9.619201,11.506958,calm
-620.1168,70.08001,-17.817978,16.52572,-1.8163197,-2.2112207,-15.371514,-5.5198283,-20.868044,2.416049,-1.8480545,-5.1152754,-5.32923,-9.077249,-5.4268684,1.2227309,-12.484024,-5.1986732,-3.3416145,-6.837084,-10.722671,-2.307542,-12.008986,-4.715236,-3.062775,-5.9808283,-4.5667343,-4.231809,-4.69242,-1.1757423,-0.8167681,1.0286579,0.38301876,-3.1212485,-6.6510663,-4.3165927,1.1387099,7.6322536,14.024581,15.444059,calm
-617.55524,61.951897,-17.68526,15.3239355,-2.8915274,0.00015215529,-18.1537,-6.2244945,-18.712038,-4.679207,-1.9316702,-6.55008,-7.880091,-7.8366556,-6.0686154,0.4261528,-10.822273,-6.470118,-3.9438832,-5.5634556,-11.51118,-1.429158,-10.253892,-5.9794745,-2.7812333,-6.2771254,-6.293445,-3.6419137,-4.5923243,-0.37925264,0.6358472,-0.12658739,0.3410371,-4.652478,-5.760437,-1.3760955,3.7237728,6.512833,10.847137,10.852177,calm
